epoch,train_avg_loss,train_avg_acc,train_precision_non_depression,train_recall_non_depression,train_f1_non_depression,train_precision_depression,train_recall_depression,train_f1_depression,train_macro_f1,val_avg_loss,val_avg_acc,val_macro_f1,val_auc,val_precision_non_depression,val_recall_non_depression,val_f1_non_depression,val_precision_depression,val_recall_depression,val_f1_depression,test_avg_loss,test_avg_acc,test_auc,test_precision_non_depression,test_recall_non_depression,test_f1_non_depression,test_precision_depression,test_recall_depression,test_f1_depression,test_macro_f1,test_cm_TN,test_cm_FP,test_cm_FN,test_cm_TP
27,0.5755,0.7184,0.7308,0.9542,0.8277,0.5638,0.144,0.2294,0.5286,0.4602,0.8498,0.5214,0.5915,0.8767,0.9631,0.9179,0.25,0.0833,0.125,,,,,,,,,,,,,,
28,0.5774,0.7152,0.7269,0.9581,0.8267,0.5482,0.1236,0.2018,0.5142,0.432,0.8622,0.4802,0.5937,0.872,0.9867,0.9258,0.1765,0.0192,0.0347,,,,,,,,,,,,,,
29,0.5732,0.7191,0.7275,0.9654,0.8297,0.5867,0.1196,0.1986,0.5142,0.4379,0.8515,0.5308,0.6014,0.8782,0.9631,0.9187,0.2778,0.0962,0.1429,,,,,,,,,,,,,,
30,0.5731,0.7188,0.7301,0.957,0.8283,0.5698,0.1386,0.223,0.5256,0.499,0.8078,0.5679,0.5968,0.8886,0.8911,0.8898,0.2484,0.2436,0.246,,,,,,,,,,,,,,
31,0.5715,0.7223,0.7341,0.9537,0.8296,0.585,0.159,0.25,0.5398,0.5051,0.8069,0.5742,0.6074,0.8907,0.8873,0.889,0.2562,0.2628,0.2595,,,,,,,,,,,,,,
32,0.5743,0.7152,0.7279,0.9554,0.8263,0.5455,0.1304,0.2105,0.5184,0.4532,0.8465,0.5425,0.5995,0.8802,0.9536,0.9155,0.2794,0.1218,0.1696,,,,,,,,,,,,,,
33,0.5741,0.718,0.7291,0.9581,0.8281,0.5665,0.1332,0.2156,0.5218,0.4677,0.835,0.5341,0.5952,0.8788,0.9403,0.9085,0.2317,0.1218,0.1597,,,,,,,,,,,,,,
34,0.5774,0.7156,0.7272,0.9581,0.8269,0.5509,0.125,0.2038,0.5153,0.43,0.8614,0.5337,0.6051,0.8788,0.9754,0.9246,0.35,0.0897,0.1429,,,,,,,,,,,,,,
35,0.5732,0.7156,0.7288,0.9537,0.8262,0.5464,0.1359,0.2176,0.5219,0.4868,0.8317,0.5693,0.5996,0.8866,0.9252,0.9055,0.2818,0.1987,0.2331,,,,,,,,,,,,,,
36,0.5708,0.7223,0.7311,0.9621,0.8308,0.6,0.1386,0.2252,0.528,0.4405,0.8573,0.5265,0.6008,0.8777,0.9716,0.9222,0.3023,0.0833,0.1307,,,,,,,,,,,,,,
37,0.577,0.7132,0.7299,0.9453,0.8237,0.5266,0.1481,0.2312,0.5275,0.4664,0.8432,0.5506,0.6118,0.8818,0.947,0.9132,0.2821,0.141,0.188,,,,,,,,,,,,,,
