epoch,train_avg_loss,train_avg_acc,train_precision_non_depression,train_recall_non_depression,train_f1_non_depression,train_precision_depression,train_recall_depression,train_f1_depression,train_macro_f1,val_avg_loss,val_avg_acc,val_macro_f1,val_auc,val_precision_non_depression,val_recall_non_depression,val_f1_non_depression,val_precision_depression,val_recall_depression,val_f1_depression,test_avg_loss,test_avg_acc,test_auc,test_precision_non_depression,test_recall_non_depression,test_f1_non_depression,test_precision_depression,test_recall_depression,test_f1_depression,test_macro_f1,test_cm_TN,test_cm_FP,test_cm_FN,test_cm_TP
27,0.5957,0.6999,0.713,0.9413,0.8114,0.5747,0.173,0.266,0.5387,0.4704,0.8326,0.549,0.5974,0.8811,0.9337,0.9067,0.2553,0.1529,0.1912,,,,,,,,,,,,,,
28,0.5964,0.6999,0.7128,0.9419,0.8115,0.5753,0.1717,0.2644,0.538,0.4735,0.8285,0.552,0.6022,0.882,0.9271,0.904,0.2524,0.1656,0.2,,,,,,,,,,,,,,
29,0.595,0.6926,0.7093,0.9351,0.8067,0.5357,0.1635,0.2505,0.5286,0.518,0.8005,0.5621,0.6072,0.8869,0.8835,0.8852,0.236,0.242,0.239,,,,,,,,,,,,,,
30,0.598,0.6931,0.7105,0.9333,0.8068,0.5328,0.1667,0.2539,0.5303,0.4578,0.8524,0.547,0.6033,0.8803,0.9612,0.919,0.3167,0.121,0.1751,,,,,,,,,,,,,,
31,0.5987,0.6956,0.7094,0.9419,0.8093,0.555,0.158,0.246,0.5277,0.4689,0.8483,0.5204,0.5827,0.8759,0.9621,0.917,0.2453,0.0828,0.1238,,,,,,,,,,,,,,
32,0.5922,0.6982,0.7113,0.9419,0.8105,0.5694,0.1673,0.2587,0.5346,0.4376,0.8557,0.5338,0.5941,0.8781,0.9688,0.9212,0.3125,0.0955,0.1463,,,,,,,,,,,,,,
33,0.5892,0.6922,0.7098,0.9319,0.8058,0.5342,0.1701,0.258,0.5319,0.4878,0.8261,0.5646,0.5939,0.8851,0.9195,0.902,0.2672,0.1975,0.2271,,,,,,,,,,,,,,
34,0.5965,0.6961,0.7103,0.9407,0.8094,0.554,0.161,0.2495,0.5295,0.4864,0.8384,0.5778,0.5999,0.8874,0.9328,0.9095,0.3107,0.2038,0.2462,,,,,,,,,,,,,,
35,0.588,0.6991,0.7137,0.9376,0.8105,0.5652,0.1774,0.27,0.5402,0.446,0.8566,0.5302,0.5895,0.8776,0.9706,0.9218,0.3111,0.0892,0.1386,,,,,,,,,,,,,,
36,0.598,0.6995,0.712,0.9439,0.8117,0.5735,0.1651,0.2564,0.534,0.4486,0.8574,0.5176,0.5836,0.8757,0.9744,0.9225,0.2895,0.0701,0.1128,,,,,,,,,,,,,,
37,0.5939,0.7025,0.7103,0.9557,0.8149,0.6099,0.151,0.2421,0.5285,0.4644,0.8442,0.5614,0.5962,0.8833,0.946,0.9136,0.3049,0.1592,0.2092,,,,,,,,,,,,,,
38,0.5986,0.6952,0.7116,0.9352,0.8082,0.5439,0.1694,0.2583,0.5333,0.4635,0.8524,0.5432,0.5931,0.8797,0.9621,0.919,0.3103,0.1146,0.1674,,,,,,,,,,,,,,
39,0.5912,0.6948,0.7096,0.9388,0.8083,0.5505,0.1633,0.2518,0.5301,0.4539,0.85,0.5297,0.5905,0.8774,0.9621,0.9178,0.2727,0.0955,0.1415,,,,,,,,,,,,,,
40,0.5879,0.7106,0.7207,0.9445,0.8176,0.6197,0.1981,0.3002,0.5589,0.4819,0.8261,0.5617,0.602,0.8844,0.9205,0.9021,0.2632,0.1911,0.2214,,,,,,,,,,,,,,
41,0.5975,0.6961,0.708,0.9476,0.8105,0.5625,0.1471,0.2333,0.5219,0.4487,0.8434,0.529,0.5992,0.8772,0.9536,0.9138,0.2462,0.1019,0.1441,,,,,,,,,,,,,,
42,0.5894,0.6999,0.7172,0.9289,0.8095,0.5615,0.1992,0.2941,0.5518,0.4852,0.8195,0.5509,0.6048,0.8822,0.9148,0.8982,0.2373,0.1783,0.2036,,,,,,,,,,,,,,
43,0.592,0.7098,0.7195,0.9457,0.8173,0.6201,0.1937,0.2952,0.5562,0.4285,0.864,0.5266,0.5908,0.8772,0.9811,0.9262,0.375,0.0764,0.127,,,,,,,,,,,,,,
44,0.5908,0.7055,0.715,0.9495,0.8157,0.6068,0.1708,0.2665,0.5411,0.4921,0.8285,0.5748,0.5989,0.8876,0.9195,0.9033,0.2857,0.2166,0.2464,,,,,,,,,,,,,,
45,0.593,0.7038,0.7123,0.9519,0.8149,0.6111,0.1644,0.2591,0.537,0.459,0.8434,0.5541,0.5893,0.8818,0.947,0.9132,0.2911,0.1465,0.1949,,,,,,,,,,,,,,
46,0.5937,0.6973,0.712,0.9382,0.8096,0.56,0.1717,0.2628,0.5362,0.5144,0.8063,0.5594,0.6001,0.8854,0.893,0.8892,0.2365,0.2229,0.2295,,,,,,,,,,,,,,
47,0.59,0.7046,0.7141,0.9494,0.8151,0.6068,0.1703,0.266,0.5405,0.4821,0.8302,0.5471,0.6028,0.8808,0.9309,0.9052,0.2474,0.1529,0.189,,,,,,,,,,,,,,
48,0.5875,0.6982,0.7114,0.9426,0.8108,0.566,0.1637,0.254,0.5324,0.4731,0.8384,0.5598,0.6033,0.8832,0.9384,0.91,0.2857,0.1656,0.2097,,,,,,,,,,,,,,
49,0.5827,0.7012,0.7146,0.9401,0.812,0.5771,0.1787,0.2729,0.5424,0.4714,0.831,0.5445,0.5914,0.8803,0.9328,0.9057,0.2447,0.1465,0.1833,,,,,,,,,,,,,,
50,0.5908,0.6965,0.7127,0.9345,0.8086,0.5513,0.176,0.2668,0.5377,0.4661,0.8541,0.5665,0.5897,0.8838,0.9583,0.9196,0.3529,0.1529,0.2133,,,,,,,,,,,,,,
TEST,,,,,,,,,,,,,,,,,,,,0.5051,0.8103,0.6123,0.8694,0.9164,0.8923,0.2544,0.1716,0.2049,0.5486,"{0: 932, 1: 29}","{0: 85, 1: 140}","{0: 140, 1: 85}","{0: 29, 1: 932}"
