epoch,train_avg_loss,train_avg_acc,train_precision_non_depression,train_recall_non_depression,train_f1_non_depression,train_precision_depression,train_recall_depression,train_f1_depression,train_macro_f1,val_avg_loss,val_avg_acc,val_macro_f1,val_auc,val_precision_non_depression,val_recall_non_depression,val_f1_non_depression,val_precision_depression,val_recall_depression,val_f1_depression,test_avg_loss,test_avg_acc,test_auc,test_precision_non_depression,test_recall_non_depression,test_f1_non_depression,test_precision_depression,test_recall_depression,test_f1_depression,test_macro_f1,test_cm_TN,test_cm_FP,test_cm_FN,test_cm_TP
27,0.5764,0.714,0.7234,0.966,0.8272,0.5481,0.1005,0.1699,0.4986,0.4563,0.8515,0.5677,0.5992,0.8849,0.9536,0.918,0.3378,0.1603,0.2174,,,,,,,,,,,,,,
28,0.5741,0.7152,0.7271,0.9576,0.8266,0.5476,0.125,0.2035,0.5151,0.4583,0.8523,0.5684,0.6,0.885,0.9545,0.9185,0.3425,0.1603,0.2183,,,,,,,,,,,,,,
29,0.568,0.7199,0.7285,0.9643,0.83,0.5897,0.125,0.2063,0.5181,0.4617,0.8482,0.5681,0.6006,0.8852,0.9489,0.9159,0.325,0.1667,0.2203,,,,,,,,,,,,,,
30,0.5723,0.7184,0.7294,0.9581,0.8283,0.569,0.1345,0.2176,0.5229,0.4559,0.854,0.5698,0.6002,0.8852,0.9564,0.9194,0.3521,0.1603,0.2203,,,,,,,,,,,,,,
31,0.573,0.7176,0.7284,0.9593,0.828,0.5655,0.1291,0.2102,0.5191,0.4523,0.8548,0.5706,0.6008,0.8853,0.9574,0.9199,0.3571,0.1603,0.2212,,,,,,,,,,,,,,
32,0.572,0.7128,0.7247,0.9593,0.8256,0.5321,0.1128,0.1861,0.5059,0.4584,0.8515,0.5643,0.6001,0.8842,0.9545,0.918,0.3333,0.1538,0.2105,,,,,,,,,,,,,,
33,0.5715,0.7168,0.728,0.9587,0.8276,0.5595,0.1277,0.208,0.5178,0.4475,0.8548,0.549,0.6,0.8813,0.9631,0.9204,0.3276,0.1218,0.1776,,,,,,,,,,,,,,
34,0.5739,0.718,0.7272,0.9637,0.8289,0.5752,0.1196,0.198,0.5134,0.4508,0.8556,0.5496,0.6014,0.8814,0.964,0.9209,0.3333,0.1218,0.1784,,,,,,,,,,,,,,
35,0.5716,0.718,0.7264,0.966,0.8292,0.5793,0.1141,0.1907,0.51,0.4451,0.8573,0.5471,0.5985,0.8809,0.9669,0.9219,0.3396,0.1154,0.1722,,,,,,,,,,,,,,
36,0.5733,0.7148,0.7257,0.9609,0.8269,0.5484,0.1155,0.1908,0.5088,0.4517,0.8548,0.5564,0.5992,0.8826,0.9612,0.9202,0.3387,0.1346,0.1927,,,,,,,,,,,,,,
37,0.5706,0.7207,0.7274,0.9693,0.8311,0.6071,0.1155,0.1941,0.5126,0.4527,0.8573,0.5658,0.6007,0.8842,0.9621,0.9215,0.3651,0.1474,0.21,,,,,,,,,,,,,,
38,0.5719,0.714,0.7251,0.9609,0.8265,0.5425,0.1128,0.1867,0.5066,0.4486,0.8556,0.5534,0.5996,0.882,0.9631,0.9208,0.339,0.1282,0.186,,,,,,,,,,,,,,
39,0.571,0.7156,0.7257,0.9626,0.8275,0.5563,0.1141,0.1894,0.5085,0.4587,0.8531,0.5587,0.5993,0.8831,0.9583,0.9192,0.3333,0.141,0.1982,,,,,,,,,,,,,,
40,0.5742,0.7089,0.723,0.9554,0.8231,0.5,0.1087,0.1786,0.5008,0.4533,0.8556,0.5679,0.6007,0.8847,0.9593,0.9205,0.3582,0.1538,0.2152,,,,,,,,,,,,,,
41,0.5694,0.7207,0.7295,0.9632,0.8302,0.5926,0.1304,0.2138,0.522,0.451,0.8556,0.5571,0.6007,0.8827,0.9621,0.9207,0.3443,0.1346,0.1935,,,,,,,,,,,,,,
42,0.5718,0.7247,0.7299,0.971,0.8333,0.6389,0.125,0.2091,0.5212,0.4545,0.854,0.5594,0.6008,0.8832,0.9593,0.9197,0.3385,0.141,0.1991,,,,,,,,,,,,,,
43,0.5729,0.7191,0.7277,0.9648,0.8297,0.5855,0.1209,0.2005,0.5151,0.4522,0.8531,0.5551,0.5992,0.8824,0.9593,0.9192,0.3281,0.1346,0.1909,,,,,,,,,,,,,,
44,0.5728,0.7231,0.7312,0.9637,0.8315,0.6084,0.1372,0.2239,0.5277,0.4579,0.8498,0.5662,0.6011,0.8847,0.9517,0.917,0.3289,0.1603,0.2155,,,,,,,,,,,,,,
45,0.5753,0.7156,0.7267,0.9598,0.8271,0.5528,0.1209,0.1984,0.5128,0.4561,0.8523,0.558,0.598,0.883,0.9574,0.9187,0.3284,0.141,0.1973,,,,,,,,,,,,,,
46,0.5752,0.7176,0.7269,0.9637,0.8287,0.5724,0.1182,0.1959,0.5123,0.4546,0.8507,0.5457,0.5991,0.8808,0.9583,0.9179,0.3016,0.1218,0.1735,,,,,,,,,,,,,,
47,0.5726,0.7195,0.7274,0.9665,0.8301,0.5918,0.1182,0.1971,0.5136,0.4546,0.8531,0.5551,0.5976,0.8824,0.9593,0.9192,0.3281,0.1346,0.1909,,,,,,,,,,,,,,
48,0.5753,0.7184,0.7271,0.9648,0.8293,0.58,0.1182,0.1964,0.5128,0.4531,0.854,0.5521,0.6001,0.8818,0.9612,0.9198,0.3279,0.1282,0.1843,,,,,,,,,,,,,,
49,0.5734,0.7247,0.7297,0.9715,0.8334,0.6408,0.1236,0.2073,0.5204,0.4467,0.8581,0.5555,0.599,0.8824,0.9659,0.9222,0.3571,0.1282,0.1887,,,,,,,,,,,,,,
50,0.5733,0.718,0.7277,0.9621,0.8286,0.5723,0.1236,0.2034,0.516,0.4545,0.8523,0.565,0.6004,0.8843,0.9555,0.9185,0.338,0.1538,0.2115,,,,,,,,,,,,,,
TEST,,,,,,,,,,,,,,,,,,,,0.5087,0.7848,0.5877,0.8666,0.8862,0.8763,0.1888,0.1627,0.1748,0.5255,"{0: 903, 1: 27}","{0: 116, 1: 139}","{0: 139, 1: 116}","{0: 27, 1: 903}"
